run_name,source,final_val_loss,best_val_loss,total_steps,seen_pairs,adapter_params,vision_T0,vision_T,vision_rho,vision_N_A,vision_d_model,vision_adapter_num_layers,vision_image_size,llm_name,adapter_level,num_queries,num_samples,num_epochs,seed,adapter_num_layers,adapter_type,use_lora,vision_name,batch_size,lr,llm_params,vision_params,total_params,total_trainable,llm_size,group,image_size
g0_0.5B_T64_M_d100m_s42,NAS,5.45532353373036,4.082927820536854,17267,552544,25230336,729,64,0.087791,25230336,768,2,384,Qwen/Qwen2.5-0.5B,M,64,100000000.0,1,42,2,perceiver,False,google/siglip-so400m-patch14-384,32,0.0001,494032768,428225600,947488704,25230336,0.5B,g0,384
g0_0.5B_T64_M_d20m_s42,NAS,3.589390579229951,3.589755817175772,17267,552544,25230336,729,64,0.087791,25230336,768,2,384,Qwen/Qwen2.5-0.5B,M,64,20000000.0,1,42,2,perceiver,False,google/siglip-so400m-patch14-384,32,0.0001,494032768,428225600,947488704,25230336,0.5B,g0,384
g0_0.5B_T64_M_d50m_s42,NAS,3.61286140257737,3.613363600295136,17267,552544,25230336,729,64,0.087791,25230336,768,2,384,Qwen/Qwen2.5-0.5B,M,64,50000000.0,1,42,2,perceiver,False,google/siglip-so400m-patch14-384,32,0.0001,494032768,428225600,947488704,25230336,0.5B,g0,384
g0_0.5B_T64_M_d5m_s42,NAS,3.572061330030225,3.572720491739942,17267,552544,25230336,729,64,0.087791,25230336,768,2,384,Qwen/Qwen2.5-0.5B,M,64,5000000.0,1,42,2,perceiver,False,google/siglip-so400m-patch14-384,32,0.0001,494032768,428225600,947488704,25230336,0.5B,g0,384
g0_1.5B_T64_M_d100m_s42,NAS,3.380757182227905,3.379432198818757,17267,552544,25721856,729,64,0.087791,25721856,768,2,384,Qwen/Qwen2.5-1.5B,M,64,100000000.0,1,42,2,perceiver,False,google/siglip-so400m-patch14-384,32,0.0001,1543714304,428225600,1997661760,25721856,1.5B,g0,384
g0_1.5B_T64_M_d20m_s42,NAS,3.6234258074243657,3.6220179565732167,17267,552544,25721856,729,64,0.087791,25721856,768,2,384,Qwen/Qwen2.5-1.5B,M,64,20000000.0,1,42,2,perceiver,False,google/siglip-so400m-patch14-384,32,0.0001,1543714304,428225600,1997661760,25721856,1.5B,g0,384
g0_1.5B_T64_M_d50m_s42,NAS,3.4170648396108527,3.41583646649223,17267,552544,25721856,729,64,0.087791,25721856,768,2,384,Qwen/Qwen2.5-1.5B,M,64,50000000.0,1,42,2,perceiver,False,google/siglip-so400m-patch14-384,32,0.0001,1543714304,428225600,1997661760,25721856,1.5B,g0,384
g0_1.5B_T64_M_d5m_s42,NAS,3.426007447125724,3.424502681718963,17267,552544,25721856,729,64,0.087791,25721856,768,2,384,Qwen/Qwen2.5-1.5B,M,64,5000000.0,1,42,2,perceiver,False,google/siglip-so400m-patch14-384,32,0.0001,1543714304,428225600,1997661760,25721856,1.5B,g0,384
g0_14B_T64_M_d100m_s42,NAS,3.286537276929884,3.286015207537218,17267,552544,28474368,729,64,0.087791,28474368,768,2,384,Qwen/Qwen2.5-14B,M,64,100000000.0,1,42,2,perceiver,False,google/siglip-so400m-patch14-384,16,0.0001,14770033664,428225600,15226733632,28474368,14B,g0,384
g0_14B_T64_M_d20m_s42,NAS,3.2872394410389574,3.286637872741336,17267,552544,28474368,729,64,0.087791,28474368,768,2,384,Qwen/Qwen2.5-14B,M,64,20000000.0,1,42,2,perceiver,False,google/siglip-so400m-patch14-384,16,0.0001,14770033664,428225600,15226733632,28474368,14B,g0,384
